YEAR,STATEFIP,COUNTYFP,OWNERSHP,HHINCOME,SEX,AGE,MARST,RACE,EDUC
2019,13,45,1,89100,0,23,0,2,1
2019,13,0,1,83200,1,71,1,1,1
2019,13,0,1,83200,0,73,1,1,1
2019,13,0,0,100700,1,64,1,1,1
2019,13,0,0,100700,0,60,1,1,1
2019,13,0,0,95000,1,31,0,1,2
2019,13,0,0,95000,0,27,0,1,3
2019,13,0,1,0,1,48,3,1,2
2019,13,45,1,144800,0,58,1,1,2
2019,13,45,1,144800,1,69,1,1,1
2019,13,45,1,144800,0,63,3,1,1
2019,13,0,0,95800,1,50,0,1,1
2019,13,0,0,95800,0,44,3,1,3
2019,13,0,1,86000,1,73,1,1,1
2019,13,0,1,86000,0,65,1,1,2
2019,13,0,1,1160,1,47,4,1,1
2019,13,0,1,105000,0,46,1,1,2
2019,13,0,1,105000,1,49,1,1,1
2019,13,67,1,110600,1,58,1,1,2
2019,13,67,1,110600,0,67,1,1,1
2019,13,67,1,220200,1,50,1,1,2
2019,13,67,1,220200,0,48,1,1,3
2019,13,0,0,41000,0,37,0,2,2
2019,13,0,0,29000,0,54,3,1,1
2019,13,0,1,133150,0,69,1,2,1
2019,13,0,1,133150,1,69,1,2,1
2019,13,21,0,100000,1,55,1,1,1
2019,13,21,0,100000,0,49,1,1,1
2019,13,0,1,156490,1,66,1,1,3
2019,13,0,1,156490,0,60,1,1,2
2019,13,0,1,220000,0,27,1,1,2
2019,13,0,1,220000,1,26,1,1,2
2019,13,0,0,44800,1,28,0,5,1
2019,13,0,0,44800,1,34,0,5,1
2019,13,0,0,44800,1,28,0,5,1
2019,13,21,1,0,1,67,1,2,1
2019,13,21,1,0,0,49,1,2,1
2019,13,0,1,127100,0,73,1,1,2
2019,13,0,1,115000,0,53,1,1,3
2019,13,0,1,115000,1,58,1,1,2
2019,13,21,1,50000,0,59,3,1,2
2019,13,0,1,79000,1,63,1,2,1
2019,13,0,1,79000,0,66,1,2,1
2019,13,0,1,102000,0,61,1,4,1
2019,13,0,0,34300,1,42,0,2,1
2019,13,0,0,34300,0,55,3,1,1
2019,13,0,1,543100,1,70,1,2,1
2019,13,0,1,543100,0,63,1,2,1
2019,13,0,1,543100,0,24,0,2,1
2019,13,135,1,80700,0,70,1,1,3
2019,13,135,1,80700,1,68,1,1,2
2019,13,0,1,36500,0,50,3,2,2
2019,13,67,0,60000,0,25,0,2,2
2019,13,67,1,212000,0,38,1,1,2
2019,13,67,1,212000,1,39,1,1,2
2019,13,0,1,28200,1,68,1,1,1
2019,13,0,1,28200,0,68,1,1,1
2019,13,0,0,9300,1,59,2,1,1
2019,13,0,1,16600,1,71,3,1,1
2019,13,0,1,158100,1,57,3,1,2
2019,13,0,1,55000,0,48,0,1,3
2019,13,0,1,363800,1,73,1,1,2
2019,13,0,1,363800,0,72,1,1,2
2019,13,185,0,33600,0,30,1,2,1
2019,13,0,0,97400,1,28,0,2,2
2019,13,0,0,97400,0,30,0,2,3
2019,13,0,0,115000,1,28,0,5,2
2019,13,0,0,115000,0,30,0,5,2
2019,13,0,1,87000,0,64,3,2,3
2019,13,0,1,87000,1,30,0,2,2
2019,13,0,1,155500,1,67,1,3,3
2019,13,0,1,125000,1,31,1,1,2
2019,13,0,1,125000,0,29,1,1,2
2019,13,0,1,73200,0,53,4,2,3
2019,13,0,0,13700,1,68,2,2,1
2019,13,0,1,571000,0,36,1,1,3
2019,13,0,1,571000,1,36,1,1,2
2019,13,113,1,132020,0,51,1,1,1
2019,13,113,1,132020,1,56,1,1,1
2019,13,0,0,34200,1,34,3,1,1
2019,13,0,0,34200,0,37,0,1,1
2019,13,67,1,110050,1,31,0,1,3
2019,13,0,1,511400,1,59,1,1,2
2019,13,0,1,511400,0,55,1,1,2
2019,13,0,1,511400,1,24,0,1,2
2019,13,0,1,95300,1,30,1,1,2
2019,13,0,1,95300,0,39,1,1,2
2019,13,117,1,56900,1,68,1,1,3
2019,13,117,1,56900,0,66,1,1,2
2019,13,0,1,21500,0,65,1,2,1
2019,13,0,1,21500,1,62,1,2,1
2019,13,0,1,81700,1,67,1,1,1
2019,13,0,1,81700,0,62,1,1,1
2019,13,0,1,149000,0,60,1,1,1
2019,13,0,1,149000,1,60,1,1,3
2019,13,51,0,70000,1,53,1,1,1
2019,13,51,0,70000,0,55,1,1,1
2019,13,0,1,48500,1,29,1,1,2
2019,13,0,1,48500,0,27,1,1,2
2019,13,0,1,88900,1,73,4,1,2
2019,13,0,1,116400,0,66,1,2,3
2019,13,0,1,116400,1,67,1,2,1
2019,13,0,1,116400,0,35,0,2,2
2019,13,0,1,116400,0,27,3,2,2
2019,13,0,1,16000,0,70,3,2,1
